=== [1/2] cleaned_10: 10 authors, K=4, sample 4 authors + M docs ===

Loading cleaned_10 corpus …
  400 docs × 1500w  (10 authors)
Building stylometric feature matrix …
  feature cache hit -> src\kmeans\cache\cleaned_10\2b210234ff591af9.npz
  X shape: (400, 107)

ARI sweep: K=4, M in [5, 10, 15, 20], 50 trials per M
  group pool = C(10,4) = 210
    M= 5: 5 docs/author, total=20 docs/trial
    M=10: 10 docs/author, total=40 docs/trial
    M=15: 15 docs/author, total=60 docs/trial
    M=20: 20 docs/author, total=80 docs/trial
  KMeans: init='k-means++', n_init=10
  M=15  trial   7/50  ARI=+0.227  n_docs= 60  authors=['abramdemski', 'kaj_sotala', 'ricraz', 'ruby']
  M=15  trial   8/50  ARI=+0.632  n_docs= 60  authors=['abramdemski', 'neel-nanda-1', 'raemon', 'zvi']
  M=15  trial   9/50  ARI=+0.167  n_docs= 60  authors=['jessica-liu-taylor', 'kaj_sotala', 'ricraz', 'ruby']
  M=15  trial  10/50  ARI=+0.584  n_docs= 60  authors=['abramdemski', 'kaj_sotala', 'ricraz', 'zvi']
  M=15  trial  11/50  ARI=+0.632  n_docs= 60  authors=['abramdemski', 'jessica-liu-taylor', 'raemon', 'steve2152']
  M=15  trial  12/50  ARI=+0.337  n_docs= 60  authors=['abramdemski', 'jessica-liu-taylor', 'johnswentworth', 'neel-nanda-1']
  M=15  trial  13/50  ARI=+0.543  n_docs= 60  authors=['jessica-liu-taylor', 'kaj_sotala', 'ruby', 'steve2152']
  M=15  trial  14/50  ARI=+0.652  n_docs= 60  authors=['kaj_sotala', 'neel-nanda-1', 'raemon', 'steve2152']
  M=15  trial  15/50  ARI=+0.566  n_docs= 60  authors=['abramdemski', 'kaj_sotala', 'neel-nanda-1', 'steve2152']
  M=15  trial  16/50  ARI=+0.511  n_docs= 60  authors=['abramdemski', 'neel-nanda-1', 'ruby', 'steve2152']
  M=15  trial  17/50  ARI=+0.466  n_docs= 60  authors=['jessica-liu-taylor', 'ruby', 'steve2152', 'zvi']
  M=15  trial  18/50  ARI=+0.501  n_docs= 60  authors=['abramdemski', 'neel-nanda-1', 'ricraz', 'steve2152']
  M=15  trial  19/50  ARI=+0.519  n_docs= 60  authors=['jessica-liu-taylor', 'johnswentworth', 'neel-nanda-1', 'ricraz']
  M=15  trial  20/50  ARI=+0.623  n_docs= 60  authors=['johnswentworth', 'neel-nanda-1', 'raemon', 'ricraz']
  M=15  trial  21/50  ARI=+0.645  n_docs= 60  authors=['abramdemski', 'johnswentworth', 'raemon', 'ricraz']
  M=15  trial  22/50  ARI=+0.706  n_docs= 60  authors=['johnswentworth', 'neel-nanda-1', 'steve2152', 'zvi']
  M=15  trial  23/50  ARI=+0.451  n_docs= 60  authors=['jessica-liu-taylor', 'kaj_sotala', 'ruby', 'zvi']
  M=15  trial  24/50  ARI=+0.460  n_docs= 60  authors=['jessica-liu-taylor', 'johnswentworth', 'neel-nanda-1', 'zvi']
  M=15  trial  25/50  ARI=+0.622  n_docs= 60  authors=['johnswentworth', 'kaj_sotala', 'ricraz', 'steve2152']
  M=15  trial  26/50  ARI=+0.408  n_docs= 60  authors=['jessica-liu-taylor', 'kaj_sotala', 'neel-nanda-1', 'zvi']
  M=15  trial  27/50  ARI=+0.461  n_docs= 60  authors=['abramdemski', 'jessica-liu-taylor', 'neel-nanda-1', 'raemon']
  M=15  trial  28/50  ARI=+0.801  n_docs= 60  authors=['neel-nanda-1', 'raemon', 'ricraz', 'zvi']
  M=15  trial  29/50  ARI=+0.955  n_docs= 60  authors=['johnswentworth', 'kaj_sotala', 'steve2152', 'zvi']
  M=15  trial  30/50  ARI=+0.257  n_docs= 60  authors=['jessica-liu-taylor', 'kaj_sotala', 'raemon', 'ruby']
  M=15  trial  31/50  ARI=+0.732  n_docs= 60  authors=['johnswentworth', 'kaj_sotala', 'neel-nanda-1', 'zvi']
  M=15  trial  32/50  ARI=+0.281  n_docs= 60  authors=['abramdemski', 'johnswentworth', 'raemon', 'ruby']
  M=15  trial  33/50  ARI=+0.260  n_docs= 60  authors=['abramdemski', 'jessica-liu-taylor', 'kaj_sotala', 'ruby']
  M=15  trial  34/50  ARI=+0.567  n_docs= 60  authors=['abramdemski', 'johnswentworth', 'kaj_sotala', 'ricraz']
  M=15  trial  35/50  ARI=+0.506  n_docs= 60  authors=['abramdemski', 'jessica-liu-taylor', 'ricraz', 'zvi']
  M=15  trial  36/50  ARI=+0.653  n_docs= 60  authors=['abramdemski', 'jessica-liu-taylor', 'johnswentworth', 'steve2152']
  M=15  trial  37/50  ARI=+0.171  n_docs= 60  authors=['abramdemski', 'johnswentworth', 'kaj_sotala', 'ruby']
  M=15  trial  38/50  ARI=+0.517  n_docs= 60  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'steve2152']
  M=15  trial  39/50  ARI=+0.653  n_docs= 60  authors=['kaj_sotala', 'ricraz', 'steve2152', 'zvi']
  M=15  trial  40/50  ARI=+0.176  n_docs= 60  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'ruby']
  M=15  trial  41/50  ARI=+0.322  n_docs= 60  authors=['abramdemski', 'jessica-liu-taylor', 'ricraz', 'steve2152']
  M=15  trial  42/50  ARI=+0.641  n_docs= 60  authors=['abramdemski', 'neel-nanda-1', 'raemon', 'steve2152']
  M=15  trial  43/50  ARI=+0.788  n_docs= 60  authors=['johnswentworth', 'raemon', 'ricraz', 'steve2152']
  M=15  trial  44/50  ARI=+0.697  n_docs= 60  authors=['abramdemski', 'ricraz', 'steve2152', 'zvi']
  M=15  trial  45/50  ARI=+0.467  n_docs= 60  authors=['jessica-liu-taylor', 'neel-nanda-1', 'raemon', 'zvi']
  M=15  trial  46/50  ARI=+0.363  n_docs= 60  authors=['jessica-liu-taylor', 'ricraz', 'ruby', 'zvi']
  M=15  trial  47/50  ARI=+0.593  n_docs= 60  authors=['johnswentworth', 'kaj_sotala', 'raemon', 'zvi']
  M=15  trial  48/50  ARI=+0.479  n_docs= 60  authors=['johnswentworth', 'kaj_sotala', 'neel-nanda-1', 'steve2152']
  M=15  trial  49/50  ARI=+0.501  n_docs= 60  authors=['abramdemski', 'johnswentworth', 'neel-nanda-1', 'ruby']
  M=15  trial  50/50  ARI=+0.514  n_docs= 60  authors=['jessica-liu-taylor', 'johnswentworth', 'raemon', 'steve2152']
  M=20  trial   1/50  ARI=+0.341  n_docs= 80  authors=['abramdemski', 'johnswentworth', 'kaj_sotala', 'ruby']
  M=20  trial   2/50  ARI=+0.381  n_docs= 80  authors=['abramdemski', 'jessica-liu-taylor', 'kaj_sotala', 'ricraz']
  M=20  trial   3/50  ARI=+0.200  n_docs= 80  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'raemon']
  M=20  trial   4/50  ARI=+0.677  n_docs= 80  authors=['jessica-liu-taylor', 'raemon', 'steve2152', 'zvi']
