============================================================
Experiment 1 — cleaned_10  (10 authors × 40 articles, ≥1500w)
============================================================
  400 docs, 10 authors
    abramdemski: 40 docs
    jessica-liu-taylor: 40 docs
    johnswentworth: 40 docs
    kaj_sotala: 40 docs
    neel-nanda-1: 40 docs
    raemon: 40 docs
    ricraz: 40 docs
    ruby: 40 docs
    steve2152: 40 docs
    zvi: 40 docs

Sweeping N in [100, 200, 500, 1000, 1500]  (K=5, M=15, 50 trials/N, n_init=10)
  Sampling K=5 authors from 10 per trial

  feature cache hit -> src\kmeans\cache\cleaned_10\29e27bc51a523bd0.npz
  N=  500  trial 34/50  ARI=+0.329  authors=['johnswentworth', 'ruby', 'ricraz', 'raemon', 'abramdemski']
  N=  500  trial 35/50  ARI=+0.179  authors=['ruby', 'jessica-liu-taylor', 'raemon', 'ricraz', 'neel-nanda-1']
  N=  500  trial 36/50  ARI=+0.415  authors=['johnswentworth', 'kaj_sotala', 'neel-nanda-1', 'zvi', 'jessica-liu-taylor']
  N=  500  trial 37/50  ARI=+0.351  authors=['kaj_sotala', 'ruby', 'steve2152', 'abramdemski', 'ricraz']
  N=  500  trial 38/50  ARI=+0.192  authors=['kaj_sotala', 'zvi', 'steve2152', 'jessica-liu-taylor', 'abramdemski']
  N=  500  trial 39/50  ARI=+0.132  authors=['steve2152', 'jessica-liu-taylor', 'kaj_sotala', 'neel-nanda-1', 'johnswentworth']
  N=  500  trial 40/50  ARI=+0.200  authors=['jessica-liu-taylor', 'kaj_sotala', 'steve2152', 'abramdemski', 'johnswentworth']
  N=  500  trial 41/50  ARI=+0.388  authors=['steve2152', 'ricraz', 'ruby', 'raemon', 'zvi']
  N=  500  trial 42/50  ARI=+0.394  authors=['raemon', 'ruby', 'johnswentworth', 'steve2152', 'neel-nanda-1']
  N=  500  trial 43/50  ARI=+0.309  authors=['kaj_sotala', 'abramdemski', 'steve2152', 'ricraz', 'zvi']
  N=  500  trial 44/50  ARI=+0.233  authors=['jessica-liu-taylor', 'zvi', 'ruby', 'ricraz', 'kaj_sotala']
  N=  500  trial 45/50  ARI=+0.135  authors=['johnswentworth', 'kaj_sotala', 'abramdemski', 'ruby', 'raemon']
  N=  500  trial 46/50  ARI=+0.432  authors=['raemon', 'kaj_sotala', 'ruby', 'steve2152', 'ricraz']
  N=  500  trial 47/50  ARI=+0.434  authors=['neel-nanda-1', 'steve2152', 'ruby', 'raemon', 'ricraz']
